N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;38;0.03;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;38;0.02;0.2;0.2;0.2;0.2;0.2;0.1;0;0
1;39;-0.02;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;39;-0.01;0.2;0.2;0.2;0.2;0.2;0.09;0;0
3;39;0.0;0.2;0.2;0.2;0.2;0.2;0.1;0;0
4;39;-0.01;0.2;0.2;0.2;0.2;0.2;0.07;0;0
5;39;0.01;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;40;0.03;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;40;0.0;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;40;0.03;0.2;0.2;0.2;0.2;0.2;0.08;0;0
4;40;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;41;-0.59;0.17;0.2;0.22;0.18;0.23;0.03;0;0
2;41;-0.8;0.17;0.19;0.22;0.22;0.2;0.07;0;0
3;41;-0.85;0.15;0.19;0.29;0.15;0.22;0.06;0;0
1;42;-0.67;0.19;0.19;0.24;0.15;0.23;0.09;0;0
2;42;-0.82;0.18;0.18;0.29;0.13;0.23;0.05;0;0
3;42;-0.9;0.16;0.19;0.27;0.14;0.24;0.05;0;0
4;42;-0.74;0.18;0.2;0.2;0.17;0.24;1;1;0
1;43;-0.93;0.16;0.15;0.29;0.16;0.24;0.02;0;0
2;43;-0.85;0.18;0.16;0.27;0.19;0.21;0.01;0;0
3;43;-0.61;0.21;0.17;0.28;0.17;0.18;0.01;0;0
1;44;-0.93;0.18;0.19;0.26;0.16;0.22;0.04;0;0
2;44;-0.51;0.19;0.18;0.24;0.19;0.19;0.05;0;0
3;44;-0.81;0.18;0.23;0.23;0.16;0.2;1;1;0
1;45;-0.79;0.18;0.21;0.21;0.15;0.25;0.09;0;0
2;45;-0.66;0.16;0.21;0.24;0.13;0.25;0.11;0;0
3;45;-0.79;0.17;0.27;0.16;0.11;0.29;0.25;0;0
4;45;-0.7;0.17;0.24;0.19;0.16;0.25;1;1;0
1;46;-0.97;0.17;0.21;0.27;0.16;0.19;0.04;0;0
2;46;-0.75;0.17;0.18;0.21;0.21;0.23;0.02;0;0
3;46;-1.18;0.17;0.19;0.24;0.16;0.24;0.01;0;0
1;47;-0.91;0.18;0.17;0.26;0.2;0.18;0.04;0;0
2;47;-0.81;0.16;0.18;0.33;0.15;0.17;0.01;0;0
3;47;-0.92;0.16;0.2;0.32;0.15;0.18;0.02;0;0
4;47;-0.9;0.18;0.2;0.23;0.19;0.2;0.09;0;0
5;47;-0.75;0.16;0.19;0.24;0.2;0.2;0.04;0;0
6;47;-0.82;0.17;0.19;0.23;0.19;0.22;0.08;0;0
7;47;-0.7;0.18;0.19;0.24;0.2;0.19;0.05;0;0
8;47;-1.15;0.15;0.19;0.38;0.11;0.18;0.04;0;0
9;47;-0.52;0.17;0.21;0.34;0.1;0.17;0.1;0;0
1;48;-1.38;0.16;0.24;0.22;0.14;0.25;0.03;0;0
2;48;-0.59;0.15;0.28;0.18;0.14;0.25;0.1;0;0
3;48;-0.27;0.16;0.21;0.2;0.14;0.29;1;1;0
1;49;-1.1;0.17;0.22;0.23;0.17;0.21;0.03;0;0
2;49;-0.9;0.16;0.2;0.22;0.23;0.19;0.04;0;0
3;49;-1.07;0.16;0.26;0.22;0.15;0.21;0.06;0;0
1;50;-1.04;0.16;0.17;0.24;0.19;0.24;0.07;0;0
2;50;-0.73;0.16;0.18;0.24;0.19;0.23;0.02;0;0
3;50;-0.94;0.19;0.2;0.21;0.19;0.21;0.02;0;0
4;50;-1.0;0.18;0.2;0.22;0.2;0.2;0.02;0;0
1;51;-1.25;0.18;0.19;0.28;0.15;0.21;0.03;0;0
2;51;-0.66;0.23;0.16;0.26;0.15;0.2;0.04;0;0
3;51;-0.74;0.18;0.18;0.26;0.18;0.21;0.03;0;0
4;51;-0.74;0.18;0.2;0.26;0.15;0.2;0.1;0;0
5;51;-0.75;0.17;0.22;0.24;0.16;0.21;0.14;0;0
6;51;-0.73;0.15;0.22;0.26;0.14;0.23;0.06;0;0
7;51;-0.76;0.15;0.2;0.26;0.17;0.22;0.02;0;0
8;51;-0.57;0.17;0.21;0.24;0.17;0.2;0.05;0;0
1;52;-1.36;0.16;0.24;0.2;0.17;0.22;0.04;0;0
2;52;-1.61;0.18;0.22;0.19;0.2;0.2;0.04;0;0
3;52;-0.69;0.17;0.2;0.22;0.21;0.21;0.06;0;0
4;52;-0.35;0.16;0.22;0.26;0.17;0.19;0.06;0;0
5;52;-0.81;0.16;0.22;0.33;0.13;0.15;0.04;0;0
6;52;-0.73;0.15;0.2;0.25;0.19;0.2;0.03;0;0
1;53;-1.07;0.17;0.18;0.22;0.2;0.24;0.08;0;0
