N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
4;36;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;36;0.1;0.2;0.2;0.2;0.2;0.2;0.09;0;0
6;36;0.1;0.2;0.2;0.2;0.2;0.2;0.14;0;0
7;36;0.09;0.2;0.2;0.2;0.2;0.2;0.07;0;0
8;36;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
9;36;0.09;0.2;0.2;0.2;0.2;0.2;0.03;0;0
10;36;0.1;0.2;0.2;0.2;0.2;0.2;0.08;0;0
1;37;0.1;0.2;0.2;0.2;0.2;0.2;0.07;0;0
2;37;0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;37;0.11;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;37;0.11;0.2;0.2;0.2;0.2;0.2;0.12;0;0
5;37;0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
6;37;0.11;0.2;0.2;0.2;0.2;0.2;0.1;0;0
7;37;0.1;0.2;0.2;0.2;0.2;0.2;0.06;0;0
1;38;0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;38;0.11;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;38;0.1;0.2;0.2;0.2;0.2;0.2;1;1;0
1;39;0.09;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;39;0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;39;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;39;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;40;0.09;0.2;0.2;0.2;0.2;0.2;0.07;0;0
2;40;0.11;0.2;0.2;0.2;0.2;0.2;0.25;0;0
3;40;0.1;0.2;0.2;0.2;0.2;0.2;1;1;0
1;41;-4.5;0.24;0.23;0.16;0.22;0.16;0.07;0;0
2;41;-4.29;0.24;0.22;0.17;0.21;0.17;0.25;0;0
3;41;-3.63;0.23;0.27;0.14;0.22;0.13;1;1;0
1;42;-3.6;0.07;0.2;0.2;0.41;0.11;0.03;0;0
2;42;-3.6;0.01;0.09;0.04;0.85;0.02;0.05;0;0
3;42;-3.42;0.14;0.14;0.2;0.26;0.27;0.08;0;0
4;42;-3.48;0.12;0.08;0.18;0.37;0.25;0.17;0;0
5;42;-3.51;0.13;0.14;0.18;0.21;0.35;0.19;0;0
6;42;-3.97;0.14;0.29;0.19;0.23;0.15;0.02;0;0
7;42;-4.1;0.13;0.26;0.25;0.24;0.11;1;1;0
1;43;-4.39;0.2;0.28;0.18;0.21;0.12;0.02;0;0
2;43;-3.92;0.18;0.3;0.23;0.19;0.11;0.04;0;0
3;43;-4.2;0.16;0.29;0.2;0.24;0.11;0.04;0;0
1;44;-13.23;0.24;0.29;0.24;0.12;0.1;1;1;0
1;45;-4.64;0.05;0.28;0.25;0.39;0.03;0.05;0;0
2;45;-4.36;0.1;0.3;0.19;0.36;0.05;0.05;0;0
3;45;-4.38;0.06;0.36;0.2;0.34;0.05;0.07;0;0
1;46;-4.35;0.33;0.2;0.15;0.23;0.1;0.04;0;0
2;46;-4.2;0.29;0.24;0.16;0.18;0.13;0.05;0;0
3;46;-4.1;0.23;0.3;0.16;0.19;0.12;0.06;0;0
4;46;-4.18;0.27;0.26;0.16;0.22;0.08;0.08;0;0
1;47;-4.32;0.17;0.24;0.2;0.29;0.1;0.07;0;0
2;47;-4.43;0.21;0.26;0.19;0.22;0.12;0.07;0;0
1;48;-14.8;0.31;0.22;0.23;0.11;0.12;0.05;0;0
2;48;-14.14;0.13;0.25;0.37;0.18;0.07;0.14;0;0
3;48;-23.99;0.15;0.23;0.19;0.31;0.12;0.04;0;0
4;48;-3.81;0.17;0.22;0.24;0.25;0.11;0.02;0;0
5;48;-3.72;0.15;0.21;0.17;0.36;0.1;0.09;0;0
6;48;-4.16;0.1;0.28;0.23;0.31;0.07;0.07;0;0
1;49;-6.22;0.18;0.19;0.22;0.16;0.25;0.06;0;0
2;49;-8.5;0.12;0.21;0.32;0.17;0.17;0.07;0;0
3;49;-5.12;0.17;0.26;0.18;0.18;0.21;0.01;0;0
4;49;-8.99;0.15;0.2;0.22;0.21;0.21;0.02;0;0
5;49;-4.43;0.18;0.19;0.19;0.15;0.29;0.04;0;0
6;49;-4.44;0.05;0.19;0.4;0.3;0.05;0.11;0;0
7;49;-4.1;0.13;0.24;0.23;0.28;0.12;1;1;0
1;50;-3.43;0.13;0.19;0.24;0.16;0.28;0.04;0;0
2;50;-3.35;0.07;0.16;0.39;0.25;0.13;0.11;0;0
3;50;-3.09;0.13;0.19;0.22;0.24;0.22;1;1;0
1;51;-3.91;0.27;0.19;0.16;0.18;0.2;0.06;0;0
2;51;-3.79;0.27;0.18;0.16;0.22;0.18;0.02;0;0
3;51;-3.95;0.28;0.17;0.14;0.16;0.24;0.05;0;0
4;51;-4.07;0.22;0.19;0.13;0.24;0.22;0.05;0;0
5;51;-4.3;0.17;0.28;0.16;0.29;0.11;0.04;0;0
6;51;-4.19;0.23;0.27;0.1;0.27;0.13;1;1;0
1;52;-3.79;0.23;0.21;0.19;0.23;0.15;0.12;0;0
2;52;-4.21;0.17;0.29;0.18;0.27;0.1;0.02;0;0
1;53;-4.58;0.24;0.2;0.21;0.17;0.18;0.06;0;0
2;53;-4.59;0.14;0.24;0.15;0.39;0.07;0.03;0;0
3;53;-4.56;0.2;0.27;0.19;0.23;0.12;0.09;0;0
4;53;-4.2;0.15;0.28;0.16;0.31;0.1;0.12;0;0
1;54;-3.86;0.22;0.25;0.15;0.24;0.14;0.06;0;0
2;54;-3.61;0.17;0.34;0.14;0.29;0.06;0.03;0;0
3;54;-3.72;0.21;0.3;0.14;0.23;0.12;0.1;0;0
4;54;-3.72;0.14;0.32;0.19;0.28;0.07;0.1;0;0
5;54;-3.56;0.22;0.3;0.14;0.22;0.11;0.12;0;0
6;54;-4.05;0.11;0.43;0.16;0.26;0.03;0.14;0;0
7;54;-3.83;0.14;0.38;0.21;0.23;0.04;1;1;0
1;55;-4.45;0.34;0.21;0.2;0.12;0.13;0.02;0;0
2;55;-4.37;0.38;0.12;0.25;0.15;0.1;0.06;0;0
3;55;-4.12;0.23;0.29;0.17;0.18;0.13;1;1;0
1;56;-3.88;0.23;0.26;0.11;0.26;0.14;0.04;0;0
2;56;-4.14;0.27;0.22;0.17;0.18;0.17;1;1;0
1;57;-4.16;0.05;0.22;0.38;0.32;0.04;0.15;0;0
