N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;20000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
8;31;-0.12;0.2;0.2;0.2;0.2;0.2;1;1;0
1;32;-0.15;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;32;-0.13;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;32;-0.14;0.2;0.2;0.2;0.2;0.2;1;1;0
1;33;-0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;33;-0.13;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;33;-0.13;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;33;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;33;-0.14;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;33;-0.14;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;34;-0.12;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;35;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;35;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;35;-0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;36;-0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;36;-0.11;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;36;-0.11;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;37;-0.13;0.2;0.2;0.2;0.2;0.2;1;1;0
1;38;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;38;-0.13;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;38;-0.13;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;38;-0.14;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;38;-0.13;0.2;0.2;0.2;0.2;0.2;0.03;0;0
6;38;-0.13;0.2;0.2;0.2;0.2;0.2;1;1;0
1;39;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;40;-0.13;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;40;-0.14;0.2;0.2;0.2;0.2;0.2;0.06;0;0
3;40;-0.14;0.2;0.2;0.2;0.2;0.2;1;1;0
1;41;-1.5;0.17;0.19;0.24;0.2;0.2;0.01;0;0
2;41;-1.78;0.15;0.2;0.23;0.2;0.22;0.01;0;0
3;41;-1.92;0.17;0.19;0.25;0.21;0.19;0.01;0;0
4;41;-1.69;0.19;0.17;0.23;0.22;0.19;0.02;0;0
5;41;-1.63;0.18;0.21;0.18;0.2;0.24;0.03;0;0
6;41;-2.01;0.16;0.2;0.2;0.22;0.22;1;1;0
1;42;-0.89;0.21;0.2;0.21;0.22;0.16;0.03;0;0
2;42;-0.65;0.24;0.17;0.2;0.22;0.17;0.04;0;0
3;42;-0.58;0.26;0.19;0.16;0.21;0.19;1;1;0
1;43;-2.2;0.27;0.19;0.24;0.15;0.16;0.03;0;0
2;43;-1.97;0.25;0.2;0.23;0.15;0.17;0.06;0;0
3;43;-2.37;0.25;0.19;0.24;0.16;0.16;0.06;0;0
4;43;-1.96;0.22;0.21;0.2;0.18;0.19;0.02;0;0
5;43;-1.51;0.23;0.18;0.21;0.2;0.17;0.02;0;0
6;43;-1.52;0.21;0.19;0.22;0.19;0.19;0.02;0;0
7;43;-1.3;0.21;0.18;0.24;0.2;0.17;0.02;0;0
8;43;-1.85;0.21;0.17;0.24;0.21;0.17;0.02;0;0
9;43;-1.87;0.23;0.18;0.2;0.21;0.18;0.01;0;0
10;43;-1.26;0.19;0.24;0.15;0.22;0.2;0.01;0;0
1;44;-1.38;0.2;0.2;0.2;0.23;0.17;0.03;0;0
2;44;-1.07;0.18;0.21;0.22;0.25;0.13;0.02;0;0
3;44;-1.13;0.2;0.2;0.2;0.22;0.18;0.02;0;0
4;44;-1.62;0.2;0.21;0.18;0.22;0.18;0.01;0;0
5;44;-1.29;0.2;0.21;0.19;0.22;0.18;0.01;0;0
1;45;-0.87;0.19;0.29;0.09;0.24;0.19;0.03;0;0
2;45;-0.51;0.21;0.25;0.12;0.22;0.2;0.06;0;0
3;45;-4.0;0.19;0.21;0.12;0.27;0.21;0.07;0;0
4;45;-0.62;0.19;0.22;0.13;0.23;0.23;0.06;0;0
5;45;-1.76;0.16;0.21;0.13;0.25;0.25;0.05;0;0
6;45;-1.29;0.19;0.2;0.16;0.24;0.21;0.06;0;0
7;45;-1.04;0.21;0.2;0.17;0.23;0.19;0.05;0;0
8;45;-0.94;0.21;0.2;0.17;0.22;0.2;1;1;0
1;46;-1.14;0.19;0.21;0.17;0.23;0.2;0.05;0;0
2;46;-1.03;0.2;0.21;0.17;0.23;0.2;0.07;0;0
3;46;-1.28;0.19;0.17;0.2;0.23;0.22;0.07;0;0
1;47;-1.45;0.21;0.16;0.25;0.22;0.17;0.02;0;0
1;48;-0.86;0.17;0.16;0.27;0.25;0.15;0.02;0;0
2;48;-1.1;0.17;0.17;0.2;0.33;0.13;0.02;0;0
3;48;-1.06;0.16;0.16;0.2;0.23;0.25;0.04;0;0
4;48;-1.21;0.16;0.16;0.12;0.33;0.24;1;1;0
1;49;-1.53;0.19;0.25;0.2;0.21;0.16;0.01;0;0
2;49;-1.41;0.16;0.3;0.16;0.21;0.17;0.01;0;0
3;49;-1.6;0.17;0.24;0.18;0.22;0.18;0.01;0;0
4;49;-1.11;0.2;0.23;0.19;0.23;0.15;0.01;0;0
5;49;-1.46;0.21;0.17;0.22;0.24;0.15;0.01;0;0
6;49;-1.37;0.21;0.2;0.2;0.24;0.15;0.01;0;0
7;49;-1.81;0.2;0.2;0.17;0.23;0.19;0.01;0;0
8;49;-1.74;0.22;0.2;0.18;0.22;0.18;0.01;0;0
9;49;-0.82;0.24;0.2;0.17;0.21;0.17;0.01;0;0
1;50;-0.42;0.21;0.19;0.19;0.2;0.21;0.05;0;0
2;50;-1.26;0.19;0.19;0.21;0.21;0.19;0.07;0;0
3;50;-0.9;0.21;0.2;0.18;0.21;0.2;0.02;0;0
1;51;-2.08;0.15;0.23;0.13;0.27;0.21;0.05;0;0
2;51;-2.48;0.17;0.23;0.13;0.23;0.24;0.04;0;0
3;51;-1.39;0.18;0.19;0.18;0.24;0.21;0.04;0;0
4;51;-0.95;0.16;0.16;0.21;0.23;0.23;1;1;0
1;52;-1.51;0.15;0.21;0.16;0.22;0.26;0.03;0;0
2;52;-1.48;0.18;0.21;0.16;0.19;0.26;0.04;0;0
3;52;-2.22;0.16;0.21;0.16;0.19;0.28;0.04;0;0
4;52;-2.35;0.12;0.16;0.09;0.27;0.35;1;1;0
1;53;-1.14;0.19;0.24;0.17;0.2;0.2;0.01;0;0
2;53;-1.31;0.16;0.24;0.17;0.21;0.22;0.01;0;0
3;53;-0.96;0.2;0.22;0.19;0.21;0.18;0.01;0;0
1;54;-0.27;0.18;0.22;0.14;0.21;0.25;1;1;0
1;55;-1.06;0.21;0.19;0.16;0.24;0.2;1;1;0
1;56;-0.48;0.21;0.25;0.11;0.24;0.19;0.01;0;0
2;56;-1.21;0.2;0.24;0.11;0.26;0.18;0.02;0;0
3;56;-1.59;0.2;0.24;0.11;0.21;0.23;0.02;0;0
4;56;-1.51;0.22;0.26;0.11;0.21;0.2;0.03;0;0
5;56;-1.19;0.29;0.22;0.13;0.18;0.18;0.06;0;0
6;56;-1.29;0.2;0.21;0.14;0.25;0.21;0.07;0;0
7;56;-0.72;0.2;0.22;0.14;0.22;0.23;0.06;0;0
8;56;-1.8;0.16;0.21;0.15;0.23;0.25;1;1;0
1;57;-1.75;0.22;0.27;0.15;0.19;0.17;0.5;0;0
2;57;-1.07;0.23;0.21;0.18;0.19;0.19;0.05;0;0
1;58;-1.67;0.19;0.22;0.15;0.25;0.18;0.04;0;0
2;58;-2.26;0.21;0.23;0.15;0.21;0.21;0.04;0;0
3;58;-1.14;0.22;0.18;0.21;0.22;0.18;0.03;0;0
1;59;-1.39;0.19;0.21;0.16;0.25;0.19;0.08;0;0
2;59;-1.14;0.21;0.21;0.17;0.23;0.18;0.06;0;0
3;59;-1.03;0.21;0.21;0.17;0.23;0.19;0.17;0;0
4;59;-1.0;0.2;0.21;0.18;0.21;0.2;0.5;0;0
5;59;-0.96;0.19;0.22;0.18;0.21;0.2;0.5;0;0
6;59;-1.04;0.2;0.21;0.18;0.21;0.2;1;1;0
1;60;-1.12;0.17;0.22;0.14;0.25;0.22;1;1;0
1;61;-0.54;0.19;0.18;0.16;0.25;0.21;0.02;0;0
2;61;-0.75;0.2;0.17;0.17;0.26;0.2;0.02;0;0
3;61;-1.01;0.2;0.19;0.16;0.23;0.22;0.02;0;0
4;61;-0.78;0.21;0.18;0.16;0.23;0.21;0.02;0;0
5;61;-0.45;0.21;0.17;0.19;0.27;0.16;0.02;0;0
6;61;-0.73;0.22;0.18;0.19;0.21;0.21;0.01;0;0
7;61;-0.79;0.2;0.17;0.18;0.23;0.21;0.02;0;0
8;61;-0.77;0.21;0.17;0.17;0.23;0.21;0.02;0;0
9;61;-1.1;0.21;0.18;0.18;0.21;0.21;0.03;0;0
10;61;-1.01;0.21;0.19;0.19;0.21;0.21;1;1;0
